bid,bidSize,ask,askSize,last,lastSize,prevBidSize,prevAskSize,volume,open,high,low,close
119.97,18.0,120.0,10.0,119.99,1.0,13.0,11.0,387519.0,120.75,121.56,118.37,119.33
119.97,18.0,120.0,10.0,119.99,1.0,13.0,11.0,387520.0,120.75,121.56,118.37,119.33
119.97,18.0,120.0,10.0,119.99,1.0,13.0,11.0,387520.0,120.75,121.56,118.37,119.33
119.97,18.0,120.0,8.0,120.0,1.0,13.0,10.0,387520.0,120.75,121.56,118.37,119.33
119.97,18.0,120.0,8.0,120.0,1.0,13.0,10.0,387520.0,120.75,121.56,118.37,119.33
119.97,18.0,120.0,5.0,120.0,1.0,13.0,8.0,387521.0,120.75,121.56,118.37,119.33
119.97,18.0,120.0,5.0,120.0,1.0,13.0,8.0,387521.0,120.75,121.56,118.37,119.33
119.97,18.0,120.0,5.0,119.99,1.0,13.0,8.0,387522.0,120.75,121.56,118.37,119.33
119.97,18.0,119.99,29.0,119.99,1.0,13.0,5.0,387522.0,120.75,121.56,118.37,119.33
119.97,18.0,119.99,29.0,119.99,1.0,13.0,5.0,387522.0,120.75,121.56,118.37,119.33
119.97,18.0,119.99,29.0,119.99,5.0,13.0,5.0,387522.0,120.75,121.56,118.37,119.33
119.97,18.0,119.99,23.0,119.99,5.0,13.0,29.0,387527.0,120.75,121.56,118.37,119.33
119.97,18.0,119.99,23.0,119.99,5.0,13.0,29.0,387527.0,120.75,121.56,118.37,119.33
119.97,18.0,119.99,23.0,119.99,1.0,13.0,29.0,387528.0,120.75,121.56,118.37,119.33
119.97,18.0,119.99,22.0,119.99,1.0,13.0,23.0,387528.0,120.75,121.56,118.37,119.33
119.97,21.0,119.99,22.0,119.99,1.0,18.0,23.0,387528.0,120.75,121.56,118.37,119.33
119.98,3.0,119.99,22.0,119.99,1.0,21.0,23.0,387528.0,120.75,121.56,118.37,119.33
119.98,3.0,119.99,22.0,119.99,1.0,21.0,23.0,387528.0,120.75,121.56,118.37,119.33
119.98,3.0,119.99,22.0,119.99,10.0,21.0,23.0,387538.0,120.75,121.56,118.37,119.33
119.98,3.0,120.0,6.0,119.99,10.0,21.0,22.0,387538.0,120.75,121.56,118.37,119.33
119.98,3.0,120.0,6.0,119.99,10.0,21.0,22.0,387538.0,120.75,121.56,118.37,119.33
